,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,14,3,0,8,41,33,1,8,10,0.7606837609999999,385,1.0,2,0.74,0.35714285700000004,1,1,25.85714286,4,1.5714,0
1,5,3,0,9,43,0,0,9,5,0.666666667,276,1.0,0,0.9024390240000001,0.533333333,2,3,53.6,1,0.8,0
2,13,1,1,8,20,46,6,2,8,0.666666667,111,1.0,0,0.0,0.615384615,0,0,7.230769231,1,0.7692,0
3,8,4,0,7,35,4,0,7,7,0.7142857140000001,265,1.0,0,0.9176470590000001,0.46875,3,3,31.375,5,1.375,0
4,31,1,0,6,65,243,4,2,30,0.726666667,747,1.0,0,0.0,0.18279569899999998,1,1,22.61290323,4,1.1613,0
5,15,3,0,3,37,41,1,2,14,0.6964285709999999,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
6,12,1,0,3,21,44,1,2,5,0.805194805,147,1.0,1,0.0,0.261904762,0,0,10.66666667,4,1.25,0
7,2,2,0,6,9,1,1,5,2,2.0,33,0.0,0,0.958333333,1.0,0,0,15.5,1,0.5,0
8,6,3,0,6,16,5,0,6,5,0.7333333329999999,95,1.0,0,0.880952381,0.5,0,0,14.33333333,1,0.8333,0
9,15,4,2,18,55,37,2,16,9,0.728571429,730,1.0,4,0.846153846,0.193333333,3,7,47.0,12,2.4667,1
10,7,3,0,8,22,0,0,8,7,0.625,147,1.0,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
11,26,3,0,15,108,233,1,15,22,0.9026086959999999,1156,1.0,2,0.596774194,0.16025641,3,3,42.57692308,7,1.2692,1
12,3,3,0,5,22,0,1,5,3,0.0,149,1.0,0,0.9487179490000001,0.666666667,0,0,48.33333333,1,0.6667,0
13,19,1,0,30,46,65,29,3,17,0.41666666700000005,448,1.0,0,0.0,0.289473684,0,0,22.47368421,16,2.4211,0
14,6,4,0,8,34,0,0,8,6,0.6,493,1.0,0,0.939759036,0.5555555560000001,1,1,80.5,1,0.8333,1
15,2,2,0,10,9,1,6,4,2,2.0,31,0.0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
16,26,3,0,33,80,201,26,8,20,0.573333333,719,0.666666667,2,0.5660377360000001,0.152727273,2,11,26.53846154,14,2.2692,0
17,3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.9487179490000001,0.666666667,0,0,9.333333332999999,1,0.6667,0
18,3,2,0,9,22,3,1,8,2,2.0,128,0.0,0,0.92,1.0,1,1,41.66666667,9,3.3333,0
19,9,3,0,9,29,0,0,9,9,0.583333333,168,1.0,1,0.8222222220000001,0.444444444,0,0,17.33333333,2,1.4444,0
20,4,3,0,5,32,2,0,5,4,0.666666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,0
21,2,1,0,1,6,0,1,0,2,1.0,39,1.0,0,0.0,0.666666667,0,0,16.5,2,1.0,0
22,3,1,0,2,15,0,2,0,3,0.166666667,100,1.0,0,0.0,0.666666667,0,0,31.33333333,2,1.0,0
23,14,3,2,11,41,67,3,8,11,0.846153846,366,1.0,1,0.74,0.223214286,1,1,24.71428571,4,1.2857,0
24,19,1,0,24,81,147,17,8,7,0.8611111109999999,560,1.0,1,0.0,0.17129629600000001,0,0,28.15789474,2,1.0,0
25,8,3,0,2,39,10,0,2,8,0.7142857140000001,265,1.0,0,0.8409090909999999,0.325,1,1,31.625,4,1.25,0
26,23,1,1,25,52,181,23,2,14,0.731404959,1489,1.0,0,0.0,0.290909091,0,0,63.26086957,35,6.087000000000001,0
27,5,1,0,5,13,0,4,1,5,0.0,69,1.0,0,0.0,0.533333333,0,0,12.6,3,1.2,0
28,14,3,0,7,33,65,0,7,14,0.91025641,404,1.0,1,0.74,0.595238095,2,3,27.0,2,1.0,1
29,2,2,0,6,11,1,1,5,2,2.0,37,0.0,0,0.958333333,1.0,0,0,17.5,1,0.5,0
30,1,5,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
31,5,1,0,2,15,0,1,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
32,4,1,0,4,5,0,3,1,4,0.333333333,24,1.0,0,0.0,0.875,0,0,4.75,1,0.75,0
